id_solicitacao,assunto,tipo_solicitacao,cliente,categoria,subcategoria,produto,equipe_solicitante,equipe_proprietaria,status,dt_criacao,dt_fechamento,prazo_resolucao,priorizacao,severidade,descrição,subproduto,conclusao,pontos_de_melhoria
267305,Erro na transmissão - Opme Fature,Incidente,BRADESCO,Ocorrência,Divergência de Funcionalidade,BPO,OPME,Suporte Aplicação (Middleware),Fechado,01/04/2021 09:32,01/05/2021 12:54,07/01/2021 09:32,0,3,"DIAGNÓSTICO: Sistema OK.\r\n \r\nAÇÃO:\r\nNenhuma.\r\n \r\nCAUSA:\r\nRegra aplicada corretamente. ""Código de Referenciado não acordado com a Bradesco.: ""\r\nComo descrito na Regra o código atual apresentado no arquivo XmL difere do existente em carga.\r\n \r\nVerificar com Pós vendas. \r\nSISTEMA OK. \r\nREGRA OK.\r\n \r\n(1",BPO - OPME,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267352,CABESP | Monitoramento Fature Premium_ Demonstrativo Indisponível no Portal,Incidente,CABESP,Ocorrência,Divergência de Funcionalidade,FATURE PREMIUM,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/04/2021 12:04,01/05/2021 08:53,07/01/2021 12:04,0,3,DIAGNÓSTICO : Demonstrativos indisponíveis ao prestador.\r\n \r\nAÇÃO: Demonstrativos reprocessados e disponibilizados no portal.\r\n \r\nCAUSA: Inconsistência no processamento.,FATURE PREMIUM - DEMONSTRATIVOS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267364,CASSI -  Andréa - [545098] - Erro ao solicitar anexo de prorrogação - N254,Incidente,CASSI,Ocorrência,Divergência de Funcionalidade,AUTORIZE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/04/2021 13:00,01/07/2021 11:50,07/01/2021 13:00,0,3,"DIAGNÓSTICO: Negativa N254 - Guia já concluída.\r\n \r\nAÇÃO: Conforme análise, juntamente com a equipe de desenvolvimento, a operadora passou uma transação de internação, via tela e auditou como negada, depois via conclusão de auditoria webservice R15, passaram uma prorrogação para essa transação negad",AUTORIZE - NEGATIVAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267456,BRADESCO | Recurso - análise de cancelamento,Requisição de Serviço,BRADESCO,Solicitação de Informação,Dados de Tabelas,FATURE PREMIUM,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/05/2021 09:34,01/05/2021 11:44,08/01/2021 09:34,0,3,DIAGNÓSTICO: Solicitação de informação.\r\n \r\nAÇÃO: Recurso cancelado pelo prestador.\r\n \r\nCAUSA: Sem informação.,FATURE PREMIUM - DEMONSTRATIVOS,TRATATIVA MIDDLEWARE,0
267464,Fwd: falha na comunicação- fature imagem - bradesco,Incidente,BRADESCO,Ocorrência,Falha Sistêmica,FATURE IMAGEM,BPO,Suporte Aplicação (Middleware),Fechado,01/05/2021 09:58,01/05/2021 11:55,08/01/2021 09:58,0,3,"DIAGNÓSTICO: Sistema OK.\r\n \r\nAÇÃO:\r\nNenhuma.\r\nPrestador não conseguirá mais enviar imagens para este lote.\r\n \r\nCAUSA:\r\nLote já foi empacotado.\r\nIdentificamos que o empacotamento não está respeitando o prazo configurado em algumas situações e, já foi aberto octane abaixo para correção para estes caso",FATURE IMAGEM - ANEXADOR DE IMAGENS,AJUSTE DEV,0
267520,Seguros Unimed_Nova Regra 1167 - Beneficiário inexistente,Incidente,SEGUROS UNIMED,Ocorrência,Divergência de Funcionalidade,FATURE,BPO,Suporte Aplicação (Middleware),Fechado,01/05/2021 15:24,01/06/2021 10:11,08/01/2021 15:24,0,3,DIAGNÓSTICO: Sistema OK.\r\n \r\nAÇÃO:\r\nNenhuma.\r\n \r\nCAUSA:\r\nArquivo original do prestador possui a informação.\r\n \r\nNome do Arquivo Original:  216_718cb37562d38cb0331432c19a0b5ab2.xml \r\n \r\n<ans:numeroCarteira>09941253253613005</ans:numeroCarteira>\r\n<ans:numeroCarteira>09941166506375102</ans:numeroCartei,FATURE - REGRAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267525,Afresp_Transação encaminhada para analise_Procedimento em carga,Incidente,AFRESP,Ocorrência,Divergência de Funcionalidade,AUTORIZE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/05/2021 15:42,01/07/2021 15:48,08/01/2021 15:42,0,3,"DIAGNÓSTICO: Aplicação da N18 - Prestador não autorizado a executar o procedimento.\r\n \r\nAÇÃO: Conforme análise, na carga processada na data da transação, a data fim de validade do contrato estava indicando 01/09/2016. Segue trecho do debug:\r\n \r\n(69410) 12:57:55 |>  Pesquisa Prestador Contrato (sem N",AUTORIZE - NEGATIVAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267634,BRADESCO | Consulta CRD - OMNI 691139,Requisição de Serviço,BRADESCO,Solicitação de Informação,Dados de Tabelas,FATURE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/06/2021 11:21,01/06/2021 13:02,11/01/2021 11:21,0,3,"DIAGNÓSTICO: Solicitação de informação.\r\n \r\nAÇÃO: Conforme análise, segue sexo encontrado em carga/banco:\r\n \r\nID_POLIMED_USU\r\nCOD_EMS\r\nCOD_USUARIO\r\nNOME\r\nSEXO\r\nDAT_NASCIMENTO\r\nSTATUS_USUARIO\r\nSEQUENCIA\r\nVERSAO_CARTAO\r\nDAT_EMISSAO_CARTAO\r\nSTATUS_CARTAO\r\nPOS_FINANCEIRA\r\nNUM_EMPRESA\r\n2237985277\r\n571\r\n7",FATURE - PROCESSAMENTO DE CARGAS,TRATATIVA MIDDLEWARE,0
267635,Fwd: fechamento de lote- guias que sobem para o fature,Incidente,CASSI,Ocorrência,Divergência de Funcionalidade,FATURE,BPO,Suporte Aplicação (Middleware),Fechado,01/06/2021 11:27,01/06/2021 14:43,15/01/2021 17:52,0,3,"DIAGNÓSTICO: Sistema OK.\r\n \r\nAÇÃO:\r\nNenhuma.\r\nFaltou dados para uma análise mais assertiva.\r\nEsclarecemos também que a configuração do Sistema é a mesma para todos os prestadores, dessa forma teriamos outros prestadores apresentando problemas caso fosse um erro.\r\n \r\nCAUSA:\r\nNenhuma.\r\n \r\nCaso realmen",FATURE - PORTAL,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267644,BRADESCO | N-18 - Prestador não contratualizado para o procedimento,Incidente,BRADESCO,Ocorrência,Divergência de Funcionalidade,AUTORIZE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/06/2021 12:26,01/07/2021 09:49,13/01/2021 10:36,0,3,DIAGNÓSTICO : o prestador (rede 00112) não esta autorizado a executar o procedimento 40316483 (pct_autorizado == N). A negativa em todas as transações enviadas é aplicada por esse motivo\r\n \r\nAÇÃO:analisar aplicação da negativa\r\n \r\nCAUSA: não há,AUTORIZE - NEGATIVAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
